Project,Score,Allocation (USD),Allocation (%),Adjusted Allocation (USD),Adjusted Allocation (%)
P5,6158.0,513.1666666666665,5.131666666666666,800.0,8.0
P15,6098.0,508.1666666666667,5.081666666666667,680.4780876494024,6.804780876494024
P2,6081.0,506.75,5.0675,646.6135458167331,6.466135458167331
P18,6073.0,506.0833333333333,5.060833333333333,630.6772908366535,6.306772908366534
P13,6061.0,505.08333333333337,5.050833333333333,606.7729083665339,6.067729083665339
P17,6042.0,503.5,5.035,568.9243027888447,5.6892430278884465
P4,6033.0,502.75,5.0275,550.9960159362549,5.509960159362549
P10,6020.0,501.66666666666663,5.016666666666667,525.0996015936255,5.250996015936255
P9,5995.0,499.5833333333333,4.995833333333334,475.2988047808765,4.752988047808765
P16,5984.0,498.66666666666663,4.986666666666666,453.3864541832669,4.533864541832669
P7,5972.0,497.6666666666667,4.976666666666667,429.4820717131474,4.294820717131474
P6,5970.0,497.5,4.9750000000000005,425.49800796812747,4.254980079681275
P3,5968.0,497.33333333333326,4.973333333333333,421.51394422310756,4.2151394422310755
P12,5960.0,496.66666666666663,4.966666666666667,405.57768924302786,4.055776892430279
P19,5951.0,495.9166666666667,4.9591666666666665,387.64940239043824,3.8764940239043826
P20,5951.0,495.9166666666667,4.9591666666666665,387.64940239043824,3.8764940239043826
P8,5931.0,494.24999999999994,4.9425,347.8087649402391,3.4780876494023905
P14,5924.0,493.66666666666674,4.936666666666667,333.8645418326693,3.3386454183266934
P1,5921.0,493.4166666666666,4.934166666666666,327.8884462151394,3.278884462151394
P11,5907.0,492.2499999999999,4.922499999999999,300.0,3.0
